item_id,title,price,price_text,first_price,location,source,score,reasons,posted_at,posted_text,opdb_id,opdb_name,opdb_manufacturer,opdb_year,opdb_type,url,pinside_url,image_url,search_name,first_seen,last_seen
1598552918545689,Star Wars Pinball Machine,450,$450,550,"Plano, TX",facebook,5,+3 phrase:pinball machine; +2 price >= $400,2026-09-05,Listed 3 hours ago,G420r-MLedz,Star Wars,Data East,1992,ss,https://www.facebook.com/marketplace/item/1598552918545689/,https://pinside.com/pinball/machine?query=Star+Wars+Pinball+Machine,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/795430636_3102212806786329_1139254349739117350_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=108&ccb=1-7&_nc_sid=92e707&_nc_ohc=v0Gpf0zQ4vgQ7kNvwFwolT9&_nc_oc=AdpxCqlGZVyfK3fcAg5SaMUPFCU1-nCP9dmOsQgtFO1Aa9kilqRtitMK_JktJ_L1TNw&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=ZCHvrSda-rLoYhFxCFat9Q&_nc_ss=7b2a8&oh=00_AQIjDl7CvP26QVYsfN9F-1kHA0zmq8zcfPR8GtoTupAQSA&oe=6ABA6D00,Fort Worth pinball machine,2026-09-06T04:01:29+00:00,2026-09-24T01:47:19+00:00
1896245441353926,Ballys' Popeye Saves the Earth Pinball Machine,3800,"$3,800",4000,"Austin, TX",facebook,9,+3 brand:bally; +3 phrase:pinball machine; +3 price >= $800,2026-09-04,Listed about an hour ago,GR0lW-MJPVV,Popeye Saves the Earth,Bally,1994,ss,https://www.facebook.com/marketplace/item/1896245441353926/,https://pinside.com/pinball/machine?query=Ballys%27+Popeye+Saves+the+Earth+Pinball+Machine,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/792882518_4412757195720220_5228785289920920895_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=102&ccb=1-7&_nc_sid=92e707&_nc_ohc=jmoT-b0HuJwQ7kNvwG5PTvS&_nc_oc=Adq0cS2ANWPuU9NUFy8sgN_kp75a1yKpgEgxyanclrUFyMQFIkMti8GXZwvP2JjUaB0&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=0Kx-j1PO0AgSQX1i514sYQ&_nc_ss=7b2a8&oh=00_AQKEzdgo7xwUeWY6CnZINhf75vnhKggfPfOAmNiVlpHZ4Q&oe=6ABA4A2D,Fort Worth pinball machine,2026-09-04T18:28:16+00:00,2026-09-24T01:47:19+00:00
3453805464798758,Two Antique Gottlieb Pinball Machines – 1952 & 1964,2000,"$2,000",2000,"Weatherford, TX",facebook,9,+3 brand:gottlieb; +3 phrase:pinball machine; +3 price >= $800,2026-09-03,Listed 12 hours ago,,,,,,https://www.facebook.com/marketplace/item/3453805464798758/,https://pinside.com/pinball/machine?query=Two+Antique+Gottlieb+Pinball+Machines+%E2%80%93+1952+%26+1964,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/795430323_1379221287085030_1515545821413908873_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=108&ccb=1-7&_nc_sid=92e707&_nc_ohc=OjBvME5k9WAQ7kNvwGsBLA5&_nc_oc=AdrLJ1BnSo8_eIOpgPfZpwvPVlfFFf31PnyC-HZPDAUmswr3wQAvYg71VP9oWquurW8&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=tFM8tFERw_M3bhjpL9xa6A&_nc_ss=7b2a8&oh=00_AQLzDljvjKds2eoNnElLO6dZHZKVsSqS83hNascsEp3chQ&oe=6ABC8565,Tulsa pinball,2026-09-03T23:33:34+00:00,2026-09-25T19:34:40+00:00
4159150394375312,Two Antique Gottlieb Pinball Machines – 1952 & 1964,2000,"$2,000",2000,"Fort Worth, TX",facebook,9,+3 brand:gottlieb; +3 phrase:pinball machine; +3 price >= $800,2026-09-03,Listed 13 hours ago,,,,,,https://www.facebook.com/marketplace/item/4159150394375312/,https://pinside.com/pinball/machine?query=Two+Antique+Gottlieb+Pinball+Machines+%E2%80%93+1952+%26+1964,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/793212426_1077196631390666_58169807357973815_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=102&ccb=1-7&_nc_sid=92e707&_nc_ohc=cdNGsHS1AX8Q7kNvwGXziNj&_nc_oc=AdpkxHajoX-QDZXYfjfVk3WZqQ7jolLgU0cOy7aGUPECKuPt53eAAoqPt3DP_LGyABw&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=XOAdJKNDaNuAmgYc3t-6jw&_nc_ss=7b2a8&oh=00_AQItNNZ3XyKIk5LG1Ahz_a1pZFGHQstKbAdnxaDKAPGnBw&oe=6ABC90B6,Tulsa pinball,2026-09-03T23:33:34+00:00,2026-09-25T19:34:40+00:00
1872067704166954,Bally Creature from the Black Lagoon Pinball Machine,8499,"$8,499",8499,"Fort Worth, TX",facebook,9,+3 brand:bally; +3 phrase:pinball machine; +3 price >= $800,2026-09-01,Listed 3 days ago,GrNWn-MQdqZ,Creature from the Black Lagoon,Bally,1992,ss,https://www.facebook.com/marketplace/item/1872067704166954/,https://pinside.com/pinball/machine?query=Bally+Creature+from+the+Black+Lagoon+Pinball+Machine,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/791943522_1373413561657074_4846965616984195323_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=102&ccb=1-7&_nc_sid=92e707&_nc_ohc=6ePtXKCdgycQ7kNvwEnSBCQ&_nc_oc=AdryBoTNTl0KZPQ2j42_newq7GMi8OsjZISYTYHmIQ0_dkyZFjUAwRfTZt1gj24Ix5M&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=jKzFXNaac4HPlp4Q8vnqWw&_nc_ss=7b2a8&oh=00_AQJf-AxmjDH-A7rGgvUCQ9KAbhm9D_st4Dr9Ac_yPLhUsg&oe=6ABC9D74,Tulsa pinball,2026-09-03T23:33:34+00:00,2026-09-25T19:34:40+00:00
944692784593566,Williams Indiana Jones: The Pinball Adventure Pinball Machine,12500,"$12,500",12500,"Lenexa, KS",facebook,9,+3 brand:williams; +3 phrase:pinball machine; +3 price >= $800,2026-09-01,Listed a week ago,G4xZy-MLno6,Indiana Jones: The Pinball Adventure,Williams,1993,ss,https://www.facebook.com/marketplace/item/944692784593566/,https://pinside.com/pinball/machine?query=Williams+Indiana+Jones%3A+The+Pinball+Adventure+Pinball+Machine,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/786303382_1034599242902164_3877698855169287779_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=105&ccb=1-7&_nc_sid=92e707&_nc_ohc=99sMuwveStQQ7kNvwHd_MWp&_nc_oc=AdpVYApK6gkS5l7kcDisI5Z_RgRKPYao2xoKF9_p65tqdkSjXbzvDpAO3OVsaoyDzZo&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=JtScGduYhWK9es3jSS8PHQ&_nc_ss=7b2a8&oh=00_AQLYpAUpisL-M7fK4OSAr_G3VwT7LJgAr5uLhJrBH1eCbQ&oe=6ABCB498,Hot Springs pinball,2026-09-08T20:29:39+00:00,2026-09-25T19:34:40+00:00
1072017905407476,1990 Data East The Simpsons Pinball Machine,3200,"$3,200",3200,"Princeton, TX",facebook,9,+3 brand:data east; +3 phrase:pinball machine; +3 price >= $800,2026-08-31,Listed 2 weeks ago,G5VBJ-MLy4l,The Simpsons,Data East,1990,ss,https://www.facebook.com/marketplace/item/1072017905407476/,https://pinside.com/pinball/machine?query=1990+Data+East+The+Simpsons+Pinball+Machine,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/788419305_1496285782538113_5801505527276708369_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=111&ccb=1-7&_nc_sid=92e707&_nc_ohc=bKrRMeWxeVwQ7kNvwEJt9Ny&_nc_oc=AdrBy8O48vFPd_KLXvCgb3O5hIeIZrn3eAvlaDGgTPJIUyMwGjv8MfDfM383MS8-RqI&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=FWT7gCIDVBl6JJgJLhVG2A&_nc_ss=7b2a8&oh=00_AQI_gMKvc12Y4KCfRXb2tafNbrtYvdM2D9LcOgBFdTKC5Q&oe=6ABA5BC5,Fort Smith pinball,2026-09-14T23:39:04+00:00,2026-09-24T01:47:19+00:00
1600770428254585,Cool 1970s Disco Fever Pinball Machine Field,250,$250,250,"Grain Valley, MO",facebook,3,+3 phrase:pinball machine,2026-08-31,Listed 4 days ago,G5o9o-MQpN2,Disco Fever,Williams,1978,ss,https://www.facebook.com/marketplace/item/1600770428254585/,https://pinside.com/pinball/machine?query=Cool+1970s+Disco+Fever+Pinball+Machine+Field,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/789217718_1099351622656222_3582096141771515598_n.jpg?stp=c0.306.526.526a_dst-jpg_p526x395_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=XwVHBQJeH1oQ7kNvwGWZ5hV&_nc_oc=AdoHjyRpd3nmSnOqjvV2WOJjiECtD4f-4_pPMDr7Tdgx_kC_2MX2xyjHmlCuF2knM4A&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=tv7N5vXB5l6wej2BdEinwA&_nc_ss=7b2a8&oh=00_AQKAnLO7dn1dZrKLFcYU7t52KNipXSNd_twm2nX-0EqTkg&oe=6ABCBAA8,Tulsa pinball,2026-09-03T23:33:34+00:00,2026-09-25T19:34:40+00:00
2136353496949209,Gottlieb Tee'd Off Pinball Machine,4000,"$4,000",4000,"Spring Hill, KS",facebook,9,+3 brand:gottlieb; +3 phrase:pinball machine; +3 price >= $800,2026-08-29,Listed 6 days ago,G4yzj-ML0P4,Tee'd Off,Gottlieb,1993,ss,https://www.facebook.com/marketplace/item/2136353496949209/,https://pinside.com/pinball/machine?query=Gottlieb+Tee%27d+Off+Pinball+Machine,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/785857619_1600367294890672_577266643011153299_n.jpg?stp=c0.327.526.526a_dst-jpg_p526x395_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=oBYwJssEbVwQ7kNvwGG7O3E&_nc_oc=Adr-fhcQZfOW95TDsNgbnrZKXJ6tZgoSLp71pQg9BlBY5dRCyjE6tdSvRH3slbvhoMs&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=5VNQfL0psju0A0dbvk5LIg&_nc_ss=7b2a8&oh=00_AQL6QnXn2a_Ik62xJSzCjC7fpL4ghtYtmfrA-PLyu1jqHg&oe=6ABCB4BF,Tulsa pinball,2026-09-03T23:33:34+00:00,2026-09-25T19:34:40+00:00
1067988332596260,FUNHOUSE Pinball Machine - 1990 Williams Diamond Plate version,5000,"$5,000",5000,"Rogers, AR",facebook,9,+3 brand:williams; +3 phrase:pinball machine; +3 price >= $800,2026-08-28,Listed a week ago,G5Dz7-Mq139,Funhouse,Williams,1990,ss,https://www.facebook.com/marketplace/item/1067988332596260/,https://pinside.com/pinball/machine?query=FUNHOUSE+Pinball+Machine+-+1990+Williams+Diamond+Plate+version,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/789086458_1568681948225200_5669649708146376487_n.jpg?stp=c0.104.526.526a_dst-jpg_p526x395_tt6&_nc_cat=106&ccb=1-7&_nc_sid=92e707&_nc_ohc=zxZG96Si98wQ7kNvwEmuMEN&_nc_oc=Adq2SLEkQPEVZzcd1VGPx-moA2tcuA7y1_r7VmQRuiI0KB_bojah-NUmH_zZPgIuo1Y&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=zwIJF3geqsZSk6D_DM0i2A&_nc_ss=7b2a8&oh=00_AQL6CtQKFMEJbBINWTDQ8yIltVcTnABPiOQfzlFYKpH8VQ&oe=6ABCB602,Tulsa pinball,2026-09-03T23:33:34+00:00,2026-09-25T19:34:40+00:00
